offset_days,mean_daily_return,std_across_events,car,car_sd_across_events,car_ci_low,car_ci_high,car_t_stat,car_p_value,car_boot_ci_low,car_boot_ci_high,n_events
101,0.009968370181665635,0.02613038441112494,0.20717386396730597,0.6523768361028591,-0.8309032618868035,1.2452509898214155,0.6351355612345538,0.5704710931237512,-0.33211529591386735,0.7464630238484793,4
102,-0.02188132481817295,0.0057484038203770085,0.18529253914913302,0.6528643065294941,-0.8535602609340663,1.2241453392323325,0.5676295588408374,0.609988802824422,-0.35357740528319526,0.7241624835814613,4
103,0.01983250432572026,0.027328488138882986,0.20512504347485327,0.677021303141418,-0.87216692891553,1.2824170158652366,0.605963335342806,0.5873140176463316,-0.35049836925995753,0.7607484562096642,4
104,-0.03578746974420288,0.04063343316850254,0.1693375737306504,0.6663316145314871,-0.8909447186490791,1.2296198661103799,0.5082681656931901,0.6462823155868842,-0.38404597252126205,0.7227211199825629,4
105,0.018527948380591353,0.02758388411185543,0.18786552211124175,0.6812083121414664,-0.8960889159403385,1.271819960162822,0.5515655600873753,0.6196707157938955,-0.3739408323822957,0.7496718766047792,4
106,-0.024408523354900066,0.019802427473758873,0.16345699875634168,0.691520890741189,-0.9369070531265562,1.2638210506392396,0.4727463795956893,0.6686603023204678,-0.40295425674691643,0.7298682542595998,4
107,-0.01763908057562402,0.0409581508482156,0.14581791818071765,0.7181253429347975,-0.9968797539960031,1.2885155903574383,0.4061071499991813,0.7118951474959232,-0.44323410847936323,0.7348699448407986,4
108,0.004682302598367331,0.0193156225339542,0.15050022077908498,0.7025343706954866,-0.9673887353982481,1.268389176956418,0.4284494170159805,0.6972239825487103,-0.42566735084989615,0.7266677924080662,4
109,0.009697756102624359,0.022163739947687985,0.16019797688170934,0.7082207320421176,-0.9667392491246706,1.2871352028880891,0.4523956151912888,0.6816944599133922,-0.41944697033045153,0.7398429240938702,4
110,0.04422608775628856,0.05072597229556477,0.2044240646379979,0.6932726326966772,-0.8987273996019268,1.3075755288779227,0.5897364326724784,0.5968378792288735,-0.3594740044009195,0.7683221336769154,4
111,0.04164859089742013,0.08195862413437689,0.24607265553541802,0.7683923247239497,-0.9766110018776284,1.4687563129484644,0.6404870210639372,0.5674206003963727,-0.36875027736783644,0.8608955884386726,4
112,0.0254569553933649,0.03665307590408303,0.2715296109287829,0.7926764872350436,-0.9897955681144334,1.5328547899719993,0.6850956608437138,0.5424710339486785,-0.35322409013531375,0.9019675081157392,4
113,0.01907948288439487,0.06933264606490598,0.29060909381317784,0.8613044401061187,-1.0799184727569073,1.661136660383263,0.6748115539201743,0.5481467347581834,-0.3848071102855152,0.9821561270734656,4
114,-0.019021917809253774,0.024778457454753544,0.271587176003924,0.8401740559700975,-1.065317234104708,1.6084915861125562,0.6465021719584971,0.5640063954746718,-0.3828248261238403,0.9542192649034693,4
115,-0.0378666574029386,0.07694578696867875,0.23372051860098547,0.7777654866350481,-1.0038779310584613,1.4713189682604322,0.6010051168821134,0.5902123995746252,-0.3549235707652403,0.8940380404703432,4
116,0.026270953948283604,0.05198407770982629,0.259991472549269,0.8276344331692976,-1.0569595994333345,1.5769425445318723,0.6282761135340201,0.5743990360496685,-0.3636306447110425,0.9667510793102911,4
117,-0.016755331240510537,0.06028426143845139,0.24323614130875854,0.8775391724878642,-1.1531245073041043,1.6395967899216213,0.5543596204809247,0.617979172688784,-0.41649484505352696,0.9940735593594698,4
118,0.027403410126925487,0.020486865094814406,0.2706395514356841,0.8935124160146884,-1.1511380920998482,1.6924171949712163,0.60578800380371,0.5874163337047553,-0.3956748888035897,1.0426268143832678,4
119,0.03182089894257845,0.051733761186156704,0.30246045037826247,0.9416194829259812,-1.1958662718322097,1.8007871725887346,0.6424260667130616,0.5663183055149159,-0.39314903275148416,1.1238959634003156,4
120,-0.012425395507722144,0.013432519493907287,0.29003505487054027,0.9404424317081705,-1.2064187161903064,1.7864888259313867,0.6168055483071637,0.581012099549571,-0.40083072861072183,1.1163394741658885,4
