price_series,horizon,estimation_window,abnormal,return_type,label,n_events,car,ci_low,ci_high,p_value,significant
coinbase,180,"(-250, -31)",True,simple,coinbase/180d/simple/abn/-250..-31,3,0.0030402960296030215,-1.7410538186136542,1.7471344106728601,0.9946965174354199,False
coinbase,7,"(-90, -11)",True,log,coinbase/7d/log/abn/-90..-11,3,0.006412033140999536,-0.2419024528251138,0.25472651910711286,0.9216788828080325,False
coinbase,7,"(-120, -31)",True,simple,coinbase/7d/simple/abn/-120..-31,3,0.01019670542406839,-0.2075730546814463,0.22796646552958308,0.858966937711411,False
binance,180,"(-120, -31)",True,log,binance/180d/log/abn/-120..-31,2,0.011149276669385255,-10.57685221708388,10.599150770422652,0.9914826840630403,False
coinbase,7,"(-120, -31)",True,log,coinbase/7d/log/abn/-120..-31,3,0.015010565375019028,-0.21590380637570927,0.2459249371257473,0.8059848077813128,False
binance,30,"(-90, -11)",True,simple,binance/30d/simple/abn/-90..-11,2,0.017394805068898678,-1.2869903233099054,1.3217799334477025,0.8931427300775852,False
coinbase,7,"(-250, -31)",True,simple,coinbase/7d/simple/abn/-250..-31,3,0.018688440998291162,-0.20067166133642134,0.23804854333300368,0.7490906536255038,False
bitstamp,7,"(-90, -11)",True,simple,bitstamp/7d/simple/abn/-90..-11,4,0.020406670743327956,-0.11695302162125733,0.15776636310791325,0.6686286127174053,False
stitched,7,"(-90, -11)",True,simple,stitched/7d/simple/abn/-90..-11,4,0.02113333256009159,-0.11714184478140766,0.15940850990159083,0.6600081226018093,False
coinbase,7,"(-250, -31)",True,log,coinbase/7d/log/abn/-250..-31,3,0.02153966581141629,-0.200036081867643,0.24311541349047555,0.7163853169369285,False
bitstamp,7,"(-120, -31)",True,simple,bitstamp/7d/simple/abn/-120..-31,4,0.024273527200329617,-0.09679830896726493,0.14534536336792417,0.5688114987364776,False
stitched,7,"(-120, -31)",True,simple,stitched/7d/simple/abn/-120..-31,4,0.025061939805609182,-0.09723262742667084,0.14735650703788922,0.5607969237862691,False
binance,7,"(-90, -11)",True,simple,binance/7d/simple/abn/-90..-11,2,0.025106232515920885,-1.0445703702490827,1.0947828352809243,0.8154897030299116,False
bitstamp,7,"(-90, -11)",True,log,bitstamp/7d/log/abn/-90..-11,4,0.025514871914982633,-0.11667419558115172,0.167703939411117,0.6079297655511865,False
stitched,7,"(-90, -11)",True,log,stitched/7d/log/abn/-90..-11,4,0.026241757015580243,-0.1169590477373301,0.16944256176849057,0.6007123860758762,False
binance,90,"(-120, -31)",True,log,binance/90d/log/abn/-120..-31,2,0.02641023392093733,-5.358505477376644,5.411325945218518,0.9603787597553561,False
bitstamp,7,"(-250, -31)",True,simple,bitstamp/7d/simple/abn/-250..-31,4,0.028385662999593136,-0.08937204182977046,0.14614336782895673,0.4988475922566565,False
stitched,7,"(-250, -31)",True,simple,stitched/7d/simple/abn/-250..-31,4,0.02912823732716948,-0.08990052269844165,0.14815699735278062,0.4928858078977373,False
bitstamp,7,"(-120, -31)",True,log,bitstamp/7d/log/abn/-120..-31,4,0.03019524494155918,-0.0986976112599508,0.15908810114306915,0.5100440529977162,False
stitched,7,"(-120, -31)",True,log,stitched/7d/log/abn/-120..-31,4,0.030960190085593732,-0.09912580683559488,0.16104618700678233,0.5038610309518777,False
bitstamp,7,"(-250, -31)",True,log,bitstamp/7d/log/abn/-250..-31,4,0.031567506885609886,-0.08769470847970819,0.15082972225092794,0.4614398534813286,False
stitched,7,"(-250, -31)",True,log,stitched/7d/log/abn/-250..-31,4,0.03229106403874173,-0.08816727569785873,0.1527494037753422,0.45629597774067815,False
binance,7,"(-120, -31)",True,simple,binance/7d/simple/abn/-120..-31,2,0.03268701096096556,-0.9807076715003618,1.046081693422293,0.7523811955723061,False
coinbase,7,"(-250, -31)",False,log,coinbase/7d/log/raw/none,3,0.033365851649455415,-0.12799732647749312,0.19472902977640394,0.4675083363866908,False
binance,7,"(-90, -11)",True,log,binance/7d/log/abn/-90..-11,2,0.033431114246250615,-1.1051334155939123,1.1719956440864137,0.7726683875007645,False
coinbase,7,"(-250, -31)",False,simple,coinbase/7d/simple/raw/none,3,0.03571005354356949,-0.13167553920738562,0.2030956462945246,0.45555822572611004,False
coinbase,30,"(-250, -31)",False,log,coinbase/30d/log/raw/none,3,0.03892123047578888,-0.30475957307536183,0.3826020340269396,0.6742436604507009,False
bitstamp,90,"(-120, -31)",True,simple,bitstamp/90d/simple/abn/-120..-31,4,0.03920509198758482,-0.8360149285587168,0.9144251125338865,0.8956765356757052,False
binance,7,"(-120, -31)",True,log,binance/7d/log/abn/-120..-31,2,0.039610940744201,-1.0273447715584285,1.1065666530468303,0.7193977154312983,False
stitched,90,"(-120, -31)",True,simple,stitched/90d/simple/abn/-120..-31,4,0.04008028217594989,-0.8359231249427126,0.9160836892946123,0.8934637209686813,False
binance,7,"(-250, -31)",True,simple,binance/7d/simple/abn/-250..-31,2,0.04202961380504018,-0.9710236330153039,1.0550828606253844,0.6911531586175007,False
binance,7,"(-250, -31)",True,log,binance/7d/log/abn/-250..-31,2,0.04472145586063138,-0.9824612678536274,1.0719041795748903,0.6783169446419455,False
binance,30,"(-120, -31)",True,simple,binance/30d/simple/abn/-120..-31,2,0.04677032154344676,-1.039522365658613,1.1330630087455065,0.6813161219353977,False
binance,30,"(-90, -11)",True,log,binance/30d/log/abn/-90..-11,2,0.046876513335844396,-1.6044764848835842,1.698229511555273,0.7796250435113624,False
bitstamp,7,"(-250, -31)",False,log,bitstamp/7d/log/raw/none,4,0.047496371915312974,-0.046984866367263886,0.14197761019788985,0.20793948672522974,False
binance,90,"(-250, -31)",True,simple,binance/90d/simple/abn/-250..-31,2,0.04758695588656073,-4.480668484615927,4.575842396389048,0.915493214513828,False
stitched,7,"(-250, -31)",False,log,stitched/7d/log/raw/none,4,0.04818757679723751,-0.04720997532103405,0.14358512891550906,0.20630031580973313,False
bitstamp,7,"(-250, -31)",False,simple,bitstamp/7d/simple/raw/none,4,0.049609875890170047,-0.04731138019854714,0.14653113197888723,0.20180930234412672,False
stitched,7,"(-250, -31)",False,simple,stitched/7d/simple/raw/none,4,0.05030488061366964,-0.04762398680267296,0.14823374803001224,0.20060755984221912,False
bitstamp,90,"(-90, -11)",True,log,bitstamp/90d/log/abn/-90..-11,4,0.051603568400193145,-1.0893001534198383,1.1925072902202247,0.8946706402042663,False
binance,7,"(-250, -31)",False,log,binance/7d/log/raw/none,2,0.05204320978889765,-0.680312727659388,0.7843991472371833,0.5324437174756623,False
stitched,90,"(-90, -11)",True,log,stitched/90d/log/abn/-90..-11,4,0.05206417731243426,-1.0895024755426932,1.1936308301675616,0.8938003188933068,False
bitstamp,30,"(-250, -31)",False,log,bitstamp/30d/log/raw/none,4,0.052949368523232065,-0.12527954544441278,0.2311782824908769,0.4141741529631326,False
stitched,30,"(-250, -31)",False,log,stitched/30d/log/raw/none,4,0.05312579563514874,-0.12530315470619985,0.23155474597649733,0.4132645308840495,False
coinbase,30,"(-250, -31)",False,simple,coinbase/30d/simple/raw/none,3,0.05323769382969945,-0.2952030155550012,0.4016784032144001,0.5784687315933489,False
binance,180,"(-250, -31)",True,simple,binance/180d/simple/abn/-250..-31,2,0.05477385124214429,-8.771660628351297,8.881208330835586,0.94990593148549,False
binance,7,"(-250, -31)",False,simple,binance/7d/simple/raw/none,2,0.055229114306813376,-0.7025419044986299,0.8130001331122565,0.5244223841366851,False
bitstamp,30,"(-250, -31)",False,simple,bitstamp/30d/simple/raw/none,4,0.06392127837352846,-0.11580223006426249,0.2436447868113194,0.33997887260937876,False
stitched,30,"(-250, -31)",False,simple,stitched/30d/simple/raw/none,4,0.06400404803989096,-0.11580488362008134,0.24381297969986326,0.3396443426788524,False
