band,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,days,time_in_market,average_position,turnover_total,turnover_annual,n_position_changes,total_cost
0.47,105.82531623124672,0.5225118103048225,0.4694694127215021,1.1325998617938637,1.4725378324681302,-0.6725607906355435,0.7768990068705454,0.5255240443896424,4056,0.9997534516765286,0.7099816849775323,7.43267135175749,0.6688671211517465,14,0.018581678379393726
0.48,112.9108515502687,0.5313362987816548,0.4692236642911963,1.145146829292999,1.4937883598360682,-0.6725607906355443,0.790019736772883,0.5255240443896424,4056,0.9997534516765286,0.7088957280150883,7.488790958387767,0.6739173323006743,14,0.01872197739596942
0.49,97.61255044846425,0.5115907762676859,0.4816941541002881,1.1007196325158874,1.4250384386134984,-0.7300161838261867,0.7007937462239785,0.5252774352651048,4056,0.9997534516765286,0.7109925584464315,6.379941986491462,0.574131860224207,12,0.015949854966228656
0.5,127.81616871738939,0.5483763371238941,0.47382800115605966,1.1618672573498812,1.5230050759954787,-0.672560790635544,0.815355793497417,0.5252774352651048,4056,0.9997534516765286,0.7161631440425195,7.553545987780841,0.6797446463362936,14,0.018883864969452102
0.51,138.8572894500702,0.5598775189088137,0.4904521912782115,1.154698484893377,1.5033078704800846,-0.6725607906355435,0.8324563767384527,0.5255240443896424,4056,0.9997534516765286,0.7548045102587118,8.846648481570321,0.7961111182872701,16,0.022116621203925803
0.52,31.493431835575855,0.3678758849052841,0.32162814062895234,1.1355137151197938,1.5142024057248833,-0.5351445793688114,0.6874327033998621,0.5255240443896424,4056,0.9997534516765286,0.4829234488732331,0.48304254220217824,0.04346906506503823,1,0.0012076063555054456
0.53,31.493431835575855,0.3678758849052841,0.32162814062895234,1.1355137151197938,1.5142024057248833,-0.5351445793688114,0.6874327033998621,0.5255240443896424,4056,0.9997534516765286,0.4829234488732331,0.48304254220217824,0.04346906506503823,1,0.0012076063555054456
0.54,31.493431835575855,0.3678758849052841,0.32162814062895234,1.1355137151197938,1.5142024057248833,-0.5351445793688114,0.6874327033998621,0.5255240443896424,4056,0.9997534516765286,0.4829234488732331,0.48304254220217824,0.04346906506503823,1,0.0012076063555054456
0.55,31.493431835575855,0.3678758849052841,0.32162814062895234,1.1355137151197938,1.5142024057248833,-0.5351445793688114,0.6874327033998621,0.5255240443896424,4056,0.9997534516765286,0.4829234488732331,0.48304254220217824,0.04346906506503823,1,0.0012076063555054456
0.56,31.493431835575855,0.3678758849052841,0.32162814062895234,1.1355137151197938,1.5142024057248833,-0.5351445793688114,0.6874327033998621,0.5255240443896424,4056,0.9997534516765286,0.4829234488732331,0.48304254220217824,0.04346906506503823,1,0.0012076063555054456
0.57,31.493431835575855,0.3678758849052841,0.32162814062895234,1.1355137151197938,1.5142024057248833,-0.5351445793688114,0.6874327033998621,0.5255240443896424,4056,0.9997534516765286,0.4829234488732331,0.48304254220217824,0.04346906506503823,1,0.0012076063555054456
0.58,31.493431835575855,0.3678758849052841,0.32162814062895234,1.1355137151197938,1.5142024057248833,-0.5351445793688114,0.6874327033998621,0.5255240443896424,4056,0.9997534516765286,0.4829234488732331,0.48304254220217824,0.04346906506503823,1,0.0012076063555054456
0.59,31.493431835575855,0.3678758849052841,0.32162814062895234,1.1355137151197938,1.5142024057248833,-0.5351445793688114,0.6874327033998621,0.5255240443896424,4056,0.9997534516765286,0.4829234488732331,0.48304254220217824,0.04346906506503823,1,0.0012076063555054456
0.6,31.493431835575855,0.3678758849052841,0.32162814062895234,1.1355137151197938,1.5142024057248833,-0.5351445793688114,0.6874327033998621,0.5255240443896424,4056,0.9997534516765286,0.4829234488732331,0.48304254220217824,0.04346906506503823,1,0.0012076063555054456
